zip,city,county,metro,avg_rent
94582,San Ramon,Contra Costa County,"San Francisco-Oakland-Berkeley, CA",3401.485865844677
94403,San Mateo,San Mateo County,"San Francisco-Oakland-Berkeley, CA",3385.000039229713
94901,San Rafael,Marin County,"San Francisco-Oakland-Berkeley, CA",2821.0923365254816
94804,Richmond,Contra Costa County,"San Francisco-Oakland-Berkeley, CA",2710.657565495027
94025,Menlo Park,San Mateo County,"San Francisco-Oakland-Berkeley, CA",3833.892580125764
94066,San Bruno,San Mateo County,"San Francisco-Oakland-Berkeley, CA",3031.432352479021
94116,San Francisco,San Francisco County,"San Francisco-Oakland-Berkeley, CA",3189.2763970550423
94010,Hillsborough,San Mateo County,"San Francisco-Oakland-Berkeley, CA",3376.0498354669203
95050,Santa Clara,Santa Clara County,"San Jose-Sunnyvale-Santa Clara, CA",3237.0241148973496
94117,San Francisco,San Francisco County,"San Francisco-Oakland-Berkeley, CA",3685.6458658494853
94566,Pleasanton,Alameda County,"San Francisco-Oakland-Berkeley, CA",3127.8701961744787
94118,San Francisco,San Francisco County,"San Francisco-Oakland-Berkeley, CA",3581.3332530539965
94521,Concord,Contra Costa County,"San Francisco-Oakland-Berkeley, CA",2544.731332798896
94611,Piedmont,Alameda County,"San Francisco-Oakland-Berkeley, CA",2604.793500289779
94531,Antioch,Contra Costa County,"San Francisco-Oakland-Berkeley, CA",3445.269246451188
95132,San Jose,Santa Clara County,"San Jose-Sunnyvale-Santa Clara, CA",3368.721120319948
94561,Oakley,Contra Costa County,"San Francisco-Oakland-Berkeley, CA",3184.4623539761214
94583,San Ramon,Contra Costa County,"San Francisco-Oakland-Berkeley, CA",2792.0932498582983
94121,San Francisco,San Francisco County,"San Francisco-Oakland-Berkeley, CA",3193.1601412232594
95120,San Jose,Santa Clara County,"San Jose-Sunnyvale-Santa Clara, CA",4539.395845847546
95129,San Jose,Santa Clara County,"San Jose-Sunnyvale-Santa Clara, CA",3355.700516081704
94588,Pleasanton,Alameda County,"San Francisco-Oakland-Berkeley, CA",2865.8923951166757
94520,Concord,Contra Costa County,"San Francisco-Oakland-Berkeley, CA",2519.1981936171574
94621,Oakland,Alameda County,"San Francisco-Oakland-Berkeley, CA",2336.454528322331
94578,San Leandro,Alameda County,"San Francisco-Oakland-Berkeley, CA",2337.2808161749185
94606,Oakland,Alameda County,"San Francisco-Oakland-Berkeley, CA",2281.0168066271203
94061,Redwood City,San Mateo County,"San Francisco-Oakland-Berkeley, CA",3236.14952074033
94124,San Francisco,San Francisco County,"San Francisco-Oakland-Berkeley, CA",3583.01638067969
94555,Fremont,Alameda County,"San Francisco-Oakland-Berkeley, CA",3519.820906126961
94040,Mountain View,Santa Clara County,"San Jose-Sunnyvale-Santa Clara, CA",3809.7364551276623
95121,San Jose,Santa Clara County,"San Jose-Sunnyvale-Santa Clara, CA",3622.9137643701606
94044,Pacifica,San Mateo County,"San Francisco-Oakland-Berkeley, CA",3321.462330039598
95128,San Jose,Santa Clara County,"San Jose-Sunnyvale-Santa Clara, CA",3330.3104228051056
94523,Pleasant Hill,Contra Costa County,"San Francisco-Oakland-Berkeley, CA",2950.3026515464076
94404,Foster City,San Mateo County,"San Francisco-Oakland-Berkeley, CA",3749.9336162603936
94063,Redwood City,San Mateo County,"San Francisco-Oakland-Berkeley, CA",3858.1836304969233
94401,San Mateo,San Mateo County,"San Francisco-Oakland-Berkeley, CA",2967.510756486982
94114,San Francisco,San Francisco County,"San Francisco-Oakland-Berkeley, CA",4175.393281128927
94545,Hayward,Alameda County,"San Francisco-Oakland-Berkeley, CA",2567.8361674848497
95126,San Jose,Santa Clara County,"San Jose-Sunnyvale-Santa Clara, CA",2982.161160272568
94102,San Francisco,San Francisco County,"San Francisco-Oakland-Berkeley, CA",2631.0757208029495
94801,Richmond,Contra Costa County,"San Francisco-Oakland-Berkeley, CA",2295.587936631707
94115,San Francisco,San Francisco County,"San Francisco-Oakland-Berkeley, CA",3448.4897999631503
95118,San Jose,Santa Clara County,"San Jose-Sunnyvale-Santa Clara, CA",3993.120102315155
94608,Emeryville,Alameda County,"San Francisco-Oakland-Berkeley, CA",2750.8667360893137
94941,Mill Valley,Marin County,"San Francisco-Oakland-Berkeley, CA",4083.3952405121013
94602,Oakland,Alameda County,"San Francisco-Oakland-Berkeley, CA",2390.4385640008572
94103,San Francisco,San Francisco County,"San Francisco-Oakland-Berkeley, CA",3334.444026201138
